일자,기온(°C),습도(%rh),체감온도(°C)
2005-09-18,26.9,60.4,27.9
2005-09-19,22,79.6,24.4
2005-09-20,23.4,60.3,24.4
2005-09-21,20.6,72.6,22.5
2005-09-22,19,80.5,21.4
2005-09-23,23.1,60.4,24.1
2005-09-24,25.7,50.4,25.9
2005-09-25,24.8,47.6,24.8
2005-09-26,25.6,43.6,25.2
2005-09-27,26,41.9,25.4
2005-09-28,26.5,41.1,25.8
2005-09-29,25.1,38.8,24.3
2005-09-30,20.1,95.5,23.5
2005-10-16,9.2,6.5,8.4
2005-10-17,9.4,7.6,8.4
2005-10-21,9.3,13,7.3
2005-10-22,5.5,11.5,3
2005-10-23,3.3,7.9,1.2
2005-10-24,7.1,5.8,6.2
2005-10-28,8.5,14,6.2
2005-10-29,7.4,11.2,5.3
2005-10-30,4.6,6.1,3.2
2005-11-01,8.1,8.6,6.6
2005-11-06,8.6,11.9,6.6
2005-11-07,6.1,4.7,5.4
2005-11-08,4.8,6.1,3.5
2005-11-09,5.7,4.7,5
2005-11-10,10,8.3,8.9
2005-11-11,8.7,8.6,7.4
2005-11-12,4.8,9.7,2.5
2005-11-13,5.7,6.8,4.3
2005-11-14,3.4,11.5,0.4
2005-11-15,2.4,17.6,-1.9
2005-11-16,-1.1,6.1,-3.3
2005-11-17,0.6,11.5,-3
2005-11-18,0.8,10.4,-2.5
2005-11-19,-0.3,8.3,-3.2
2005-11-20,-0.6,5.8,-2.6
2005-11-21,3,12.6,-0.3
2005-11-22,0.9,4.7,-0.4
2005-11-23,3.7,7.2,1.8
2005-11-24,5.4,4.7,4.7
2005-11-25,4,8.6,1.8
2005-11-26,4.2,7.9,2.2
2005-11-27,6,6.8,4.6
2005-11-28,4.4,20.2,0.3
2005-11-29,0,17.3,-4.8
2005-12-01,3.1,20.2,-1.4
2005-12-02,-1.7,13,-6.1
2005-12-03,-2.4,11.9,-6.7
2005-12-04,-7.3,17.6,-14
2005-12-05,-7.9,11.9,-13.3
2005-12-06,-5.5,6.8,-8.7
2005-12-07,-4.7,8.6,-8.5
2005-12-08,-3.5,11.9,-8
2005-12-09,-3.5,11.9,-8
2005-12-10,-6.9,13.7,-12.6
2005-12-11,-9.1,12.2,-14.9
2005-12-12,-9.3,18.7,-16.7
2005-12-13,-11.4,14.8,-18.4
2005-12-14,-8.9,11.9,-14.6
2005-12-15,-7.5,12.2,-12.9
2005-12-16,-5.5,15.5,-11.3
2005-12-17,-11.4,25.6,-20.7
2005-12-18,-12.3,15.8,-19.8
2005-12-19,-9.6,7.9,-14
2005-12-20,-7.4,7.2,-11.1
2005-12-21,-8.4,26.6,-17
2005-12-22,-10.3,18.4,-17.9
2005-12-23,-5.3,10.8,-9.9
2005-12-24,-8.1,13.3,-14
2005-12-25,-6.6,17.3,-13.1
2005-12-26,-10.1,13.3,-16.4
2005-12-27,-9,12.2,-14.8
2005-12-28,-9.2,7.9,-13.5
2005-12-29,-6.3,8.3,-10.3
2005-12-30,-1.5,11.5,-5.5
2006-01-01,1.3,13.7,-2.6
2006-01-02,-2.1,18,-7.6
2006-01-03,-4,16.6,-9.7
2006-01-04,-7.7,16.6,-14.3
2006-01-05,-10,9.4,-15
2006-01-06,-9.8,10.8,-15.3
2006-01-07,-8.9,13.3,-15
2006-01-08,-7.6,8.6,-11.9
2006-01-09,-6.9,9,-11.2
2006-01-10,-1.2,11.2,-5.1
2006-01-11,-5,7.6,-8.5
2006-01-12,-1.9,11.9,-6.1
2006-01-13,1.9,18,-2.6
2006-01-14,1.9,14.4,-2
2006-01-15,2.8,13,-0.6
2006-01-16,-0.2,7.6,-2.8
2006-01-17,-1.1,10.8,-4.8
2006-01-18,-1.5,6.5,-4
2006-01-19,-1.4,8.6,-4.6
2006-01-20,0.4,12.2,-3.4
2006-01-21,-1.9,8.6,-5.2
2006-01-22,-5.6,14,-11.1
2006-01-23,-7.6,11.9,-13
2006-01-24,-7,9.4,-11.5
2006-01-25,-4.4,7.6,-7.8
2006-01-26,-2.4,9.4,-6
2006-01-27,-1.1,10.1,-4.7
2006-01-28,-2.5,11.9,-6.8
2006-01-29,-0.3,8.6,-3.3
2006-01-30,3,7.9,0.8
2006-02-01,-2.5,16.9,-7.9
2006-02-02,-8.6,19.8,-16.1
2006-02-03,-14.1,17.6,-22.5
2006-02-04,-12.1,15.5,-19.5
2006-02-05,-9.3,15.5,-16
2006-02-06,-3.9,9,-7.7
2006-02-07,-4.4,20.5,-10.9
2006-02-08,-9.4,16.9,-16.5
2006-02-09,-9.2,14.4,-15.6
2006-02-10,-1.7,10.1,-5.4
2006-02-11,-1.8,15.8,-6.8
2006-02-12,-5.3,8.6,-9.2
2006-02-13,-1.2,11.5,-5.1
2006-02-14,4.4,14.8,1
2006-02-15,3.1,8.3,0.8
2006-02-16,-5,17.6,-11.1
2006-02-17,-8,13.7,-14
2006-02-18,-5.2,11.2,-9.9
2006-02-19,-0.8,9,-4
2006-02-20,0.1,6.8,-2.2
2006-02-21,-0.3,9.4,-3.5
2006-02-22,-1.4,14,-5.9
2006-02-23,-2.1,14.4,-6.9
2006-02-24,-1.4,9.4,-4.8
2006-02-25,2.9,11.5,-0.2
2006-02-26,-3.6,15.5,-9
2006-02-27,-4,15.5,-9.5
2006-03-01,-2.2,18,-7.7
2006-03-02,-2.9,17.6,-8.5
2006-03-03,-2.5,9.4,-6.1
2006-03-04,-2.1,8.3,-5.3
2006-03-05,5.6,15.5,2.4
2006-03-06,1.3,12.6,-2.4
2006-03-07,1.3,7.9,-1.2
2006-03-08,0.7,6.8,-1.5
2006-03-09,7,13,4.5
2006-03-10,7.2,16.6,4.2
2006-03-11,0.9,17.6,-3.7
2006-03-12,-6.4,20.2,-13.4
2006-03-13,-6.3,18,-12.8
2006-03-14,-3.7,14,-8.8
2006-03-15,-0.3,9.4,-3.5
2006-03-16,3.1,13,-0.2
2006-03-17,3.6,11.2,0.7
2006-03-18,3.9,13,0.7
2006-03-19,1.2,12.2,-2.4
